id,company_id_datasetA,number_matches_datasetB,valid
867,68744,1,true
868,68806,1,true
869,68842,1,true
870,68891,4,true
871,68948,2,true
872,68962,1,true
873,69011,1,true
874,69025,1,true
875,69028,1,true
876,69070,1,true
877,69071,1,true
878,69163,1,true
879,69168,2,true
880,69193,2,true
881,69203,1,true
882,69285,1,true
883,69337,5,true
884,69348,5,true
885,69385,2,true
886,69424,1,true
887,69473,1,true
888,69492,1,true
889,69660,1,true
890,69731,1,true
891,69786,1,true
892,69930,2,true
893,69975,2,true
894,70054,3,true
895,70059,2,true
896,70065,8,true
897,70304,1,true
898,70315,1,true
899,70345,1,true
900,70463,4,true
901,70470,2,true
902,70569,2,true
903,70579,1,true
904,70620,1,true
905,70629,1,true
906,70652,1,true
907,70684,1,true
908,70688,1,true
909,70812,1,true
910,70874,1,true
911,70892,1,true
912,70925,1,true
913,70928,1,true
914,70932,1,true
915,70963,1,true
916,70974,1,true
917,71034,1,true
918,71073,9,true
919,71074,2,true
920,71086,3,true
921,71129,1,true
922,71215,2,true
923,71240,3,true
924,71252,1,true
925,71275,2,true
926,71317,2,true
927,71357,1,true
928,71367,1,true
929,71504,5,true
930,71615,1,true
931,71617,1,true
932,71666,1,true
933,71701,1,true
934,71732,2,true
935,71750,2,true
936,71773,1,true
937,71804,2,true
938,71861,3,true
939,71889,1,true
940,71913,1,true
941,71964,9,true
942,72003,1,true
943,72033,3,true
944,72110,1,true
945,72122,2,true
946,72123,4,true
947,72208,1,true
948,72235,2,true
949,72255,1,true
950,72274,1,true
951,72453,1,true
952,72503,1,true
953,72518,2,true
954,72521,1,true
955,72571,3,true
956,72603,2,true
957,72604,1,true
958,72665,1,true
959,72748,1,true
960,72749,1,true
961,72755,1,true
962,72868,2,true
963,72898,1,true
964,72983,1,true
965,73085,2,true
966,73098,1,true
967,73210,2,true
968,73211,1,true
969,73301,42,true
970,73332,1,true
971,73360,1,true
972,73378,3,true
973,73454,1,true
974,73495,1,true
975,73527,3,true
976,73548,1,true
977,73549,9,true
978,73562,1,true
979,73596,1,true
980,73664,1,true
981,73769,2,true
982,73781,1,true
983,73831,1,true
984,73867,1,true
985,73929,1,true
986,73997,1,true
987,74037,2,true
988,74270,1,true
989,74423,2,true
990,74452,1,true
991,74455,2,true
992,74471,1,true
993,74508,1,true
994,74522,2,true
995,74573,1,true
996,74638,1,true
997,74649,1,true
998,74655,1,true
999,74688,2,true
1000,74706,13,true
1001,74850,2,true
1002,74874,1,true
1003,74942,9,true
1004,74955,3,true
1005,74965,1,true
1006,74967,1,true
1007,74982,10,true
1008,75000,1,true
1009,75104,1,true
1010,75140,1,true
1011,75218,1,true
1012,75260,1,true
1013,75343,1,true
1014,75349,1,true
1015,75369,1,true
1016,75378,1,true
1017,75429,1,true
1018,75541,1,true
1019,75592,1,true
1020,75594,1,true
1021,75606,1,true
1022,75618,2,true
1023,75639,1,true
1024,75706,2,true
1025,75751,1,true
1026,75803,4,true
1027,75879,1,true
1028,75910,1,true
1029,75989,1,true
1030,76012,2,true
1031,76035,1,true
1032,76069,2,true
1033,76099,2,true
1034,76158,3,true
1035,76169,1,true
1036,76178,1,true
1037,76189,2,true
1038,76210,1,true
1039,76218,1,true
1040,76275,1,true
1041,76278,1,true
1042,76281,1,true
1043,76313,2,true
1044,76326,1,true
1045,76526,1,true
1046,76536,2,true
1047,76579,1,true
1048,76605,1,true
1049,76615,1,true
1050,76663,2,true
1051,76741,42,true
1052,76758,1,true
1053,76796,1,true
1054,76812,1,true
1055,76840,4,true
1056,76862,1,true
1057,76901,2,true
1058,76914,2,true
1059,76963,4,true
1060,77019,2,true
1061,77025,1,true
1062,77032,1,true
1063,77050,1,true
1064,77071,2,true
1065,77082,1,true
1066,77100,5,true
1067,77209,2,true
1068,77257,4,true
1069,77427,10,true
1070,77461,2,true
1071,77472,4,true
1072,77504,12,true
1073,77514,1,true
1074,77580,1,true
1075,77593,3,true
1076,77642,1,true
1077,77651,1,true
1078,77667,2,true
1079,77706,3,true
1080,77720,1,true
1081,77722,3,true
1082,77756,1,true
1083,77794,5,true
1084,77800,1,true
1085,77959,1,true
1086,77964,1,true
1087,78060,1,true
1088,78080,3,true
1089,78140,2,true
1090,78145,2,true
1091,78153,3,true
1092,78238,2,true
1093,78251,5,true
1094,78276,4,true
1095,78414,2,true
1096,78460,4,true
1097,78510,4,true
1098,78517,1,true
1099,78519,2,true
1100,78538,13,true
1101,78551,3,true
1102,78586,2,true
1103,78615,5,true
1104,78684,1,true
1105,78743,3,true
1106,78745,3,true
1107,78818,1,true
1108,78839,3,true
1109,78890,1,true
1110,78914,1,true
1111,78918,1,true
1112,78957,1,true
1113,78994,4,true
1114,79008,2,true
1115,79151,1,true
1116,79228,4,true
1117,79261,2,true
1118,79467,1,true
1119,79612,5,true
1120,79652,1,true
1121,79714,1,true
1122,79803,3,true
1123,79816,8,true
1124,79858,4,true
1125,79941,2,true
1126,80006,1,true
1127,80080,1,true
1128,80081,2,true
1129,80085,2,true
1130,80161,1,true
1131,80244,3,true
1132,80286,1,true
1133,80291,5,true
1134,80296,1,true
1135,80322,2,true
1136,80333,1,true
1137,80335,13,true
1138,80352,5,true
1139,80426,2,true
1140,80505,3,true
1141,80516,1,true
1142,80519,5,true
1143,80525,2,true
1144,195881,1,true
1145,195960,2,true
1146,195982,1,true
1147,196259,1,true
1148,196283,1,true
1149,196362,8,true
1150,196368,1,true
1151,196375,1,true
1152,196452,2,true
1153,196696,1,true
1154,196967,1,true
1155,196974,1,true
1156,197230,1,true
1157,197282,1,true
1158,197375,2,true
1159,197387,2,true
1160,197401,1,true
1161,197429,1,true
1162,197478,2,true
1163,197488,2,true
1164,197617,3,true
1165,197655,1,true
1166,197658,1,true
1167,197692,1,true
1168,197758,1,true
1169,197914,2,true
1170,198031,1,true
1171,198116,3,true
1172,198172,1,true
1173,198187,1,true
1174,198257,1,true
1175,198287,1,true
1176,198336,1,true
1177,198359,1,true
1178,198416,9,true
1179,198419,1,true
1180,198448,1,true
1181,198663,1,true
1182,198709,1,true
1183,198738,1,true
1184,198801,1,true
1185,198854,3,true
1186,198863,1,true
1187,198941,2,true
1188,198999,1,true
1189,199138,1,true
1190,199171,2,true
1191,199380,1,true
1192,199558,1,true
1193,199590,1,true
1194,199709,2,true
1195,199778,1,true
1196,199811,1,true
1197,199846,1,true
1198,199879,1,true
1199,199916,2,true
1200,200057,1,true
1201,200094,1,true
1202,200147,42,true
1203,200236,1,true
1204,200324,1,true
1205,200355,1,true
1206,200416,1,true
1207,200485,1,true
1208,200499,2,true
1209,200642,1,true
1210,200671,42,true
1211,200777,1,true
1212,200998,1,true
1213,201007,1,true
1214,201052,1,true
1215,201271,1,true
1216,201316,2,true
1217,201371,1,true
1218,201549,1,true
